NCESID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,ENROLLMENT,START_GRAD,END_GRADE,FULL_TIME_
BB081253,CONG OHR MENACHEM,1729 PRESIDENT ST,BROOKLYN,NY,11213,NOT AVAILABLE,1,1,128,KINGS,36047,US,40.667177,-73.929687,112,PK,07,16
BB101004,ST JOSEPH HIGH SCHOOL,80 WILLOUGHBY ST,BROOKLYN,NY,11201,NOT AVAILABLE,1,1,352,KINGS,36047,US,40.692022,-73.985532,314,08,12,38
BB101011,YESHIVA CHSAN SOFER,1876 50TH ST,BROOKLYN,NY,11204,NOT AVAILABLE,1,1,582,KINGS,36047,US,40.626352,-73.980058,462,KG,12,120
BB940557,STEPPING STONE OF SOUTHEASTERN QUEEN SCHOOL,11428 FRANCIS LEWIS BLVD,CAMBRIA HEIGHTS,NY,11411,NOT AVAILABLE,1,1,58,QUEENS,36081,US,40.70066,-73.748552,54,PK,02,4
BB121449,YESHIVAH CHASDEI TORAH,54 AVENUE O,BROOKLYN,NY,11204,NOT AVAILABLE,1,1,35,KINGS,36047,US,40.610108,-73.98314,30,02,08,5
BB121461,MOST HOLY TRINITY SCHOOL,153 JOHNSON AVE,BROOKLYN,NY,11206,NOT AVAILABLE,1,1,218,KINGS,36047,US,40.706634,-73.94415,209,PK,08,9
BB121462,TALMUD TORAH TOLDOS YAKOV YOSEF,105 HEYWARD ST,BROOKLYN,NY,11206,NOT AVAILABLE,1,1,333,KINGS,36047,US,40.701502,-73.95676,302,PK,12,31
BB121471,NATIONAL HERITAGE ACADEMIES,2635 LINDEN BLVD,BROOKLYN,NY,11208,NOT AVAILABLE,1,1,412,KINGS,36047,US,40.669204,-73.866858,392,KG,06,20
BB121474,BAY RIDGE PREP,7420 4TH AVE,BROOKLYN,NY,11209,NOT AVAILABLE,1,1,224,KINGS,36047,US,40.631446,-74.025054,180,08,12,44
BB121487,TORAH ACADEMY HIGH SCHOOL,2066 E 9TH ST,BROOKLYN,NY,11223,NOT AVAILABLE,1,1,20,KINGS,36047,US,40.598844,-73.962492,16,08,12,4
BB121497,JEWISH CENTER FOR SPECIAL EDUC,1760 53RD ST,BROOKLYN,NY,11204,NOT AVAILABLE,4,1,85,KINGS,36047,US,40.626247,-73.983912,75,UG,UG,10
BB121521,CONGREGATION OHR MENACHEM,1717 PRESIDENT ST,BROOKLYN,NY,11213,NOT AVAILABLE,1,1,121,KINGS,36047,US,40.667189,-73.929652,113,KG,07,8
BB121531,BLOCK INSTITUTE SCHOOL,376 BAY 44TH ST,BROOKLYN,NY,11214,NOT AVAILABLE,4,1,29,KINGS,36047,US,40.587789,-73.994082,25,PK,02,4
BB121533,BLOCK INSTITUTE,376 BAY 44TH ST,BROOKLYN,NY,11214,NOT AVAILABLE,4,1,31,KINGS,36047,US,40.587789,-73.994082,27,PK,02,4
BB121545,RAINBOW CAMPUS,852 SAINT JOHNS PL,BROOKLYN,NY,11216,NOT AVAILABLE,1,1,32,KINGS,36047,US,40.671484,-73.949958,29,KG,06,3
BB121553,MESIVTA TORAH VODAATH,452 E 9TH ST,BROOKLYN,NY,11218,NOT AVAILABLE,1,1,394,KINGS,36047,US,40.638223,-73.969399,382,PK,08,12
BB121569,CONGREGATION BIZ DUSHINSKY,5822 11TH AVE,BROOKLYN,NY,11219,NOT AVAILABLE,1,1,65,KINGS,36047,US,40.632318,-74.002414,60,UG,UG,5
